symbol,currency,categoryName,currencyProfit,quoteId,quoteIdCross,marginMode,profitMode,pipsPrecision,contractSize,exemode,time,expiration,stopsLevel,precision,swapType,stepRuleId,type,instantMaxVolume,groupName,description,longOnly,trailingEnabled,marginHedgedStrong,swapEnable,percentage,bid,ask,high,low,lotMin,lotMax,lotStep,tickSize,tickValue,swapLong,swapShort,leverage,spreadRaw,spreadTable,starting,swap_rollover3days,marginMaintenance,marginHedged,initialMargin,timeString,shortSelling,currencyPair
TNO.FR_5,EUR,ETF,EUR,6,4,103,6,3,1,1,1738946699750,,0,3,2,625,60,2147483647,ETF,"Amundi, UCITS, DIST, EUR",True,False,False,True,100.0,99.29,99.8,100.54,99.12,1.0,1000000.0,1.0,0.001,0.001,0.0,0.0,100.0,0.51,510.0,,0,0,0,0,Fri Feb 07 17:44:59 CET 2025,False,False
IS02.DE,EUR,ETF,EUR,6,15,104,6,4,1,1,1738946678162,,0,4,2,276,3052,2147483647,ETFs,"iShares, UCITS, ACC, EUR",True,False,False,True,100.0,5.618,5.6304,5.6248,5.5832,1.0,1000000.0,1.0,0.0001,0.0001,0.0,0.0,100.0,0.0124,124.0,,0,0,0,0,Fri Feb 07 17:44:38 CET 2025,False,False
IUSG.US_5,USD,ETF,USD,6,4,103,6,2,1,1,1738961999889,,0,2,2,671,70,2147483647,ETF,"iShares, DIST, USD",False,False,False,True,100.0,143.44,143.9,145.53,143.15,1.0,1000000.0,1.0,0.01,0.01,-0.02458,-0.00042,20.0,0.46,46.0,,0,0,0,0,Fri Feb 07 21:59:59 CET 2025,True,False
FGP.UK_4,GBP,STC,GBP,6,4,103,6,4,1,1,1738946699246,,0,4,2,624,14,2147483647,UK,Firstgroup PLC CFD,False,False,False,True,100.0,1.615,1.627,1.636,1.52,1.0,1000000.0,1.0,0.0001,0.0001,-0.02556,0.0,30.0,0.012,120.0,,0,0,0,0,Fri Feb 07 17:44:59 CET 2025,True,False
PBI.US_9,USD,STC,USD,6,15,104,6,2,1,1,1738961896160,,0,2,2,12,2436,2147483647,US,Pitney Bowes Inc,True,False,False,True,100.0,8.56,8.58,8.69,8.4,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.02,2.0,,0,0,0,0,Fri Feb 07 21:58:16 CET 2025,False,False
AIR.DE_9,EUR,STC,EUR,6,15,104,6,2,1,1,1738946693724,,0,2,2,226,2424,2147483647,Germany,Airbus SE,True,False,False,True,100.0,166.38,166.42,168.2,166.34,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.04,4.0,,0,0,0,0,Fri Feb 07 17:44:53 CET 2025,False,False
NRZ.US,USD,STC,USD,6,15,104,6,2,1,1,1738961970323,,0,2,2,12,2436,2147483647,US,New Residential Investment Corp,True,False,False,True,100.0,11.78,11.8,11.88,11.73,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.02,2.0,,0,0,0,0,Fri Feb 07 21:59:30 CET 2025,False,False
GBPUSD,GBP,FX,USD,5,4,101,5,4,100000,1,1739143647110,,0,5,3,5,963,2147483647,Major,British Pound to American Dollar currency pair,False,True,False,True,100.0,1.23909,1.23922,1.2393,1.23736,0.01,100.0,0.01,1e-05,1.0,-0.001859,-0.003653,3.33,0.00013,1.3,,0,0,0,0,Mon Feb 10 00:27:27 CET 2025,True,True
ZINC,USD,CMD,USD,5,4,102,6,0,50,1,1738952998805,,0,0,3,6,912,2147483647,Industrial Metals,Zinc (CFD),False,True,False,True,100.0,2844.0,2854.0,2873.0,2834.0,0.01,100.0,0.01,1.0,50.0,-0.024481,-0.000519,10.0,10.0,10.0,,0,0,0,0,Fri Feb 07 19:29:58 CET 2025,True,False
TPG.US,USD,STC,USD,6,15,104,6,2,1,1,1738961982350,,0,2,2,12,2436,2147483647,US,TPG Inc - class A,True,False,False,True,100.0,62.98,63.08,64.45,61.81,1.0,1000000.0,1.0,0.01,0.01,0.0,0.0,100.0,0.1,10.0,,0,0,0,0,Fri Feb 07 21:59:42 CET 2025,False,False
